event_id,event_date,created_at,updated_at
22,2008-11-08,2011-04-17 14:56:50,2011-04-17 14:56:50
23,2009-03-28,2011-04-17 14:56:50,2011-04-17 14:56:50
24,2009-04-21,2011-04-17 14:56:50,2011-04-17 14:56:50
25,2009-09-12,2011-04-17 14:56:50,2011-04-17 14:56:50
25,2009-09-13,2011-04-17 14:56:50,2011-04-17 14:56:50
26,2009-11-14,2011-04-17 14:56:50,2011-04-17 14:56:50
27,2010-02-27,2011-04-17 14:56:50,2011-04-17 14:56:50
28,2010-04-10,2011-04-17 14:56:50,2011-04-17 14:56:50
29,2010-04-24,2011-04-17 14:56:50,2011-04-17 14:56:50
30,2010-07-29,2011-04-17 14:56:50,2011-04-17 14:56:50
31,2010-11-13,2011-04-17 14:56:50,2011-04-17 14:56:50
44,2011-04-18,2011-04-18 00:50:43.477692,2011-04-18 00:50:43.477692
32,2011-04-30,2011-04-25 15:52:28.900166,2011-04-25 15:52:28.900166
33,2011-05-17,2011-05-16 16:05:40.095353,2011-05-16 16:05:40.095353
33,2011-05-18,2011-05-16 16:05:44.879684,2011-05-16 16:05:44.879684
34,2011-10-22,2011-10-19 18:37:56.735236,2011-10-19 18:37:56.735236
35,2013-11-09,2012-11-10 02:33:54.178399,2013-10-15 20:43:54.243751
36,2014-11-15,2014-10-27 13:41:35.555133,2014-10-27 13:41:35.555133
37,2015-11-07,2015-10-19 01:01:33.395092,2015-10-19 01:01:33.395092
38,2016-11-12,2016-10-18 01:40:00.057563,2016-10-18 01:40:00.057563
39,2017-10-14,2017-08-17 13:57:49.405444,2017-08-17 13:57:49.405444
40,2018-11-10,2018-11-04 00:10:42.456877,2018-11-04 00:10:42.456877
41,2019-06-13,2019-02-14 01:13:37.008378,2019-02-14 01:13:37.008378